periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-06T00:00:00Z,4,822
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-06T00:00:00Z,5,995
201401,"RUTE 3","TMII - GANDARIA",2014-01-06T00:00:00Z,4,907
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-06T00:00:00Z,5,796
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-06T00:00:00Z,2,419
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-06T00:00:00Z,4,548
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-06T00:00:00Z,6,781
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-06T00:00:00Z,4,591
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-06T00:00:00Z,2,284
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-06T00:00:00Z,2,194
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-06T00:00:00Z,4,618
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-06T00:00:00Z,3,305
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-06T00:00:00Z,4,399
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-06T00:00:00Z,4,545
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-06T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-06T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-07T00:00:00Z,4,830
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-07T00:00:00Z,4,882
201401,"RUTE 3","TMII - GANDARIA",2014-01-07T00:00:00Z,4,906
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-07T00:00:00Z,5,947
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-07T00:00:00Z,3,709
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-07T00:00:00Z,4,585
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-07T00:00:00Z,6,1004
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-07T00:00:00Z,3,501
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-07T00:00:00Z,2,307
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-07T00:00:00Z,2,243
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-07T00:00:00Z,4,811
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-07T00:00:00Z,3,309
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-07T00:00:00Z,5,537
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-07T00:00:00Z,4,637
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-07T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-07T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-08T00:00:00Z,4,804
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-08T00:00:00Z,4,882
201401,"RUTE 3","TMII - GANDARIA",2014-01-08T00:00:00Z,4,974
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-08T00:00:00Z,5,993
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-08T00:00:00Z,3,603
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-08T00:00:00Z,4,590
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-08T00:00:00Z,6,961
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-08T00:00:00Z,3,570
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-08T00:00:00Z,2,287
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-08T00:00:00Z,2,258
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-08T00:00:00Z,4,799
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-08T00:00:00Z,3,350
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-08T00:00:00Z,4,350
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-08T00:00:00Z,4,687
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-08T00:00:00Z,0,0
